index,label,text,term,opinion,start,end,text_left,text_right
86157,0,本来想午睡买个床，这个床和实物差别也太大了，买回来根本就不是那样的！希望购买的宝宝要慎重！自己看差别，宽窄也不一样！,宽窄,不一样,51,53,本来想午睡买个床，这个床和实物差别也太大了，买回来根本就不是那样的！希望购买的宝宝要慎重！自己看差别，,也不一样！
86158,0,垃圾垃圾垃圾，洞打错，问卖家要图纸卖家说要等第二天，第二天要，卖家说这是新款没有视频，我买的是桌子和柜子，物流显示是圆通结果圆通只到了一个，我都到家了问客服，客服却说还有一个发的韵达……，淦!现在装的我头疼，拆了装装了拆（因为其中一个衔接的地方图纸和孔都打错了和画错了，导致我安装错误，最后安装完才发现……还有图纸的正反不分我指的是木板的正反）就这样，淦。江湖不见。,洞,打错,7,8,垃圾垃圾垃圾，,打错，问卖家要图纸卖家说要等第二天，第二天要，卖家说这是新款没有视频，我买的是桌子和柜子，物流显示是圆通结果圆通只到了一个，我都到家了问客服，客服却说还有一个发的韵达……，淦!现在装的我头疼，拆了装装了拆（因为其中一个衔接的地方图纸和孔都打错了和画错了，导致我安装错误，最后安装完才发现……还有图纸的正反不分我指的是木板的正反）就这样，淦。江湖不见。
86159,0,垃圾垃圾垃圾，洞打错，问卖家要图纸卖家说要等第二天，第二天要，卖家说这是新款没有视频，我买的是桌子和柜子，物流显示是圆通结果圆通只到了一个，我都到家了问客服，客服却说还有一个发的韵达……，淦!现在装的我头疼，拆了装装了拆（因为其中一个衔接的地方图纸和孔都打错了和画错了，导致我安装错误，最后安装完才发现……还有图纸的正反不分我指的是木板的正反）就这样，淦。江湖不见。,视频,没有,40,42,垃圾垃圾垃圾，洞打错，问卖家要图纸卖家说要等第二天，第二天要，卖家说这是新款没有,，我买的是桌子和柜子，物流显示是圆通结果圆通只到了一个，我都到家了问客服，客服却说还有一个发的韵达……，淦!现在装的我头疼，拆了装装了拆（因为其中一个衔接的地方图纸和孔都打错了和画错了，导致我安装错误，最后安装完才发现……还有图纸的正反不分我指的是木板的正反）就这样，淦。江湖不见。
86177,0,叠好又不平稳的，超差，不值这个价，手工又差，边角会划到手,叠好,不平稳,0,2,,又不平稳的，超差，不值这个价，手工又差，边角会划到手
86178,0,叠好又不平稳的，超差，不值这个价，手工又差，边角会划到手,这个价,不值,13,16,叠好又不平稳的，超差，不值,，手工又差，边角会划到手
86179,0,叠好又不平稳的，超差，不值这个价，手工又差，边角会划到手,手工,差,17,19,叠好又不平稳的，超差，不值这个价，,又差，边角会划到手
86180,0,叠好又不平稳的，超差，不值这个价，手工又差，边角会划到手,边角,会划到手,22,24,叠好又不平稳的，超差，不值这个价，手工又差，,会划到手
86212,0,客观评价1.床板薄2.扶手很单薄，我不得不用两根梁钉在一起，已经顾不上美不美观了3客服对老板很不负责任，老板人还是挺好,床板,薄,6,8,客观评价1.,薄2.扶手很单薄，我不得不用两根梁钉在一起，已经顾不上美不美观了3客服对老板很不负责任，老板人还是挺好
86213,0,客观评价1.床板薄2.扶手很单薄，我不得不用两根梁钉在一起，已经顾不上美不美观了3客服对老板很不负责任，老板人还是挺好,扶手,很单薄,11,13,客观评价1.床板薄2.,很单薄，我不得不用两根梁钉在一起，已经顾不上美不美观了3客服对老板很不负责任，老板人还是挺好
86214,0,客观评价1.床板薄2.扶手很单薄，我不得不用两根梁钉在一起，已经顾不上美不美观了3客服对老板很不负责任，老板人还是挺好,客服,很不负责任,41,43,客观评价1.床板薄2.扶手很单薄，我不得不用两根梁钉在一起，已经顾不上美不美观了3,对老板很不负责任，老板人还是挺好
86226,0,质量一般，软软的,质量,一般,0,2,,一般，软软的
86227,0,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。,和实物,不符合,6,9,我第一次见到,这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。
86228,0,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。,垫子,要自己绑上去的,26,28,我第一次见到和实物这么不符合的东西。fine。 那个,是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。
86229,0,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。,垫子,一层小棉被一样的,26,28,我第一次见到和实物这么不符合的东西。fine。 那个,是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。
86230,0,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。,垫子,薄薄的,26,28,我第一次见到和实物这么不符合的东西。fine。 那个,是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。
86231,0,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。,和图片,一点都不一样,52,55,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正,一点都不一样。慎重买。
86232,0,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重买。,买,慎重,64,65,我第一次见到和实物这么不符合的东西。fine。 那个垫子是要自己绑上去的 一层小棉被一样的，薄薄的。反正和图片一点都不一样。慎重,。
86240,0,质量一般，连接处的金属很薄很软，这几下就会折断的感觉，不会再买，最要提到的是客服态度非常傲慢，拽的很，让人很不舒服,质量,一般,0,2,,一般，连接处的金属很薄很软，这几下就会折断的感觉，不会再买，最要提到的是客服态度非常傲慢，拽的很，让人很不舒服
86241,0,质量一般，连接处的金属很薄很软，这几下就会折断的感觉，不会再买，最要提到的是客服态度非常傲慢，拽的很，让人很不舒服,金属,很薄,9,11,质量一般，连接处的,很薄很软，这几下就会折断的感觉，不会再买，最要提到的是客服态度非常傲慢，拽的很，让人很不舒服
86242,0,质量一般，连接处的金属很薄很软，这几下就会折断的感觉，不会再买，最要提到的是客服态度非常傲慢，拽的很，让人很不舒服,金属,很软,9,11,质量一般，连接处的,很薄很软，这几下就会折断的感觉，不会再买，最要提到的是客服态度非常傲慢，拽的很，让人很不舒服
86243,0,质量一般，连接处的金属很薄很软，这几下就会折断的感觉，不会再买，最要提到的是客服态度非常傲慢，拽的很，让人很不舒服,客服态度,非常傲慢,38,42,质量一般，连接处的金属很薄很软，这几下就会折断的感觉，不会再买，最要提到的是,非常傲慢，拽的很，让人很不舒服
86264,0,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！,质量,很一般,10,12,只能说一分钱一分货，,很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！
86265,0,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！,味道,有,21,23,只能说一分钱一分货，质量很一般，布一打开有,，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！
86266,0,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！,架子,不是很扎实,30,32,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，,也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！
86267,0,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！,客服态度,售前售后180度变脸,39,43,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，,也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！
86268,0,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！,卖家,不会负责,80,82,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，,不会负责的，所以要买的要考虑好，退货很麻烦！！
86269,0,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，退货很麻烦！！,退货,很麻烦,98,100,只能说一分钱一分货，质量很一般，布一打开有味道，晾晒了几天，架子也不是很扎实，客服态度也是售前售后180度变脸！这个东西很重，就算有运费险自己还是要补重量差价，卖家不会负责的，所以要买的要考虑好，,很麻烦！！
86270,0,支付宝那边不能用 不弄了退换很麻烦,支付宝那边,不能用,0,5,,不能用 不弄了退换很麻烦
